BODYTYPE ,MAKE ,GENERIC MODEL ,BATTERY TYPE,CAPACITY(KWH),TOTAL_CAPACITY(KWH),MINERALS(KGS),2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,TOTAL
CARS,SKODA,SKODA CITIGO,Lithium-ion,36.80,12622.40,38919.07,54,289,0,0,0,0,0,0,0,0,0,0,343
CARS,TESLA,TESLA ROADSTER,Lithium-ion,61.50,4551.00,14032.25,0,0,0,0,0,0,0,0,0,8,19,47,74
CARS,TOYOTA,TOYOTA BZ4X,Lithium-ion,71.00,12070.00,37215.83,0,0,0,0,0,0,0,0,0,0,0,0,0
CARS,TOYOTA,TOYOTA PRIUS,Nickel-metal hydride (NiMH),1.30,9633.00,29701.75,0,0,0,795,3673,2942,0,0,0,0,0,0,7410
CARS,VAUXHALL,VAUXHALL AMPERA,Lithium-ion,16.60,22244.00,68585.67,0,0,0,0,0,0,108,529,251,452,0,0,1340
CARS,VOLKSWAGEN,VOLKSWAGEN XL1,Lithium-ion,5.50,110.00,339.17,0,0,0,0,0,0,20,0,0,0,0,0,20
CARS,VOLVO,VOLVO V60,Lithium-ion,11.60,9860.00,30401.67,0,0,0,20,194,284,114,163,75,0,0,0,850
HEAVY GOODS VEHICLES,FORD,FORD TRANSIT,Lithium-ion,79.50,12879.00,39710.25,0,0,0,0,0,0,0,0,0,0,0,0,0
HEAVY GOODS VEHICLES,FIAT,FIAT DUCATO,Lithium-ion,63.00,4095.00,12626.25,0,0,0,0,0,0,0,0,0,0,0,0,0
HEAVY GOODS VEHICLES,MAXUS,MAXUS DELIVER,Lithium-ion,61.75,12350.00,38079.17,27,0,0,0,0,0,0,0,0,0,0,0,27
HEAVY GOODS VEHICLES,MITSUBISHI FUSO,MITSUBISHI FUSO CANTER,Lithium-ion,76.00,684.00,2109.00,0,0,0,9,0,0,0,0,0,0,0,0,9
LIGHT GOODS VEHICLES,VAUXHALL,VAUXHALL VIVARO,Lithium-ion,62.50,376562.50,1161067.71,2752,266,0,0,0,0,0,0,0,0,0,0,3018
LIGHT GOODS VEHICLES,FORD,FORD TRANSIT,Lithium-ion,79.50,69642.00,214729.50,0,6,0,0,0,0,0,0,0,0,0,0,6
